"Method_A","Method_B","A_Better","B_Better","P_Value","P_Adjusted_Bonf","Significant_Bonf","Winner","Margin"
"ACF","Variance",9,101,4.08100448589422e-18,3.18318349899749e-16,TRUE,"Variance",92
"ACF","Wavelet",14,110,1.44772480769488e-17,1.12922535000201e-15,TRUE,"Wavelet",96
"Wavelet","MatrixProfile",83,5,2.24477435522926e-16,1.75092399707882e-14,TRUE,"Wavelet",78
"Wavelet","SSA",82,6,1.29545618592989e-15,1.01045582502532e-13,TRUE,"Wavelet",76
"FFT","ACF",74,3,1.49641254887925e-15,1.16720178812581e-13,TRUE,"FFT",71
"Variance","SAZED",86,9,6.31779225667131e-15,4.92787796020362e-13,TRUE,"Variance",77
"Wavelet","SAZED",94,13,1.04307603697928e-14,8.13599308843841e-13,TRUE,"Wavelet",81
"ACF","Spectral",12,87,1.02779680952843e-13,8.01681511432179e-12,TRUE,"Spectral",75
"Variance","MatrixProfile",86,12,1.65442106347796e-13,1.29044842951281e-11,TRUE,"Variance",74
"Variance","CFD",75,9,1.3210973184523e-12,1.03045590839279e-10,TRUE,"Variance",66
"Wavelet","CFD",83,13,1.89115210181596e-12,1.47509863941645e-10,TRUE,"Wavelet",70
"Variance","SSA",88,16,3.35183132381234e-12,2.61442843257363e-10,TRUE,"Variance",72
"FFT","SAZED",60,4,6.19898590351443e-12,4.83520900474126e-10,TRUE,"FFT",56
"ACF","Lomb-Scargle",14,82,8.02174138593567e-12,6.25695828102983e-10,TRUE,"Lomb-Scargle",68
"ACF","Autoperiod",8,67,2.12359058261856e-11,1.65640065444248e-09,TRUE,"Autoperiod",59
"Spectral","SAZED",72,12,1.21515122403342e-10,9.47817954746064e-09,TRUE,"Spectral",60
"AIC","Wavelet",7,61,1.29980840725338e-10,1.01385055765764e-08,TRUE,"Wavelet",54
"Wavelet","STL",65,12,3.10497104788701e-09,2.42187741735186e-07,TRUE,"Wavelet",53
"Variance","STL",58,9,4.51484597399215e-09,3.52157985971388e-07,TRUE,"Variance",49
"AIC","Variance",10,60,4.723817702584e-09,3.68457780801552e-07,TRUE,"Variance",50
"SAZED","Lomb-Scargle",13,66,4.90223941145576e-09,3.82374674093549e-07,TRUE,"Lomb-Scargle",53
"FFT","CFD",53,8,1.76462845315678e-08,1.37641019346229e-06,TRUE,"FFT",45
"Spectral","CFD",63,14,4.49762262207273e-08,3.50814564521673e-06,TRUE,"Spectral",49
"Spectral","MatrixProfile",82,25,6.17271719054222e-08,4.81471940862293e-06,TRUE,"Spectral",57
"SAZED","Autoperiod",12,56,1.84297857388928e-07,1.43752328763364e-05,TRUE,"Autoperiod",44
"CFD","Lomb-Scargle",11,53,2.97537746375532e-07,2.32079442172915e-05,TRUE,"Lomb-Scargle",42
"Spectral","SSA",85,30,4.76538526568014e-07,3.71700050723051e-05,TRUE,"Spectral",55
"Lomb-Scargle","MatrixProfile",80,30,2.98329352937892e-06,0.000232696895291556,TRUE,"Lomb-Scargle",50
"FFT","MatrixProfile",90,37,3.9451001492319e-06,0.000307717811640088,TRUE,"FFT",53
"Wavelet","Autoperiod",52,15,1.09202666011026e-05,0.000851780794886006,TRUE,"Wavelet",37
"ACF","STL",25,68,1.32947227626065e-05,0.0010369883754833,TRUE,"STL",43
"Variance","Autoperiod",44,11,1.59690259807905e-05,0.00124558402650166,TRUE,"Variance",33
"Autoperiod","CFD",44,11,1.59690259807905e-05,0.00124558402650166,TRUE,"Autoperiod",33
"FFT","SSA",93,42,1.68261483418928e-05,0.00131243957066763,TRUE,"FFT",51
"Lomb-Scargle","SSA",86,38,2.4351829662588e-05,0.00189944271368186,TRUE,"Lomb-Scargle",48
"Spectral","STL",44,12,3.43466580469846e-05,0.0026790393276648,TRUE,"Spectral",32
"Wavelet","Lomb-Scargle",40,12,0.000180950490437563,0.0141141382541299,TRUE,"Wavelet",28
"AIC","ACF",86,44,0.00032322493228593,0.0252115447183025,TRUE,"AIC",42
"Autoperiod","MatrixProfile",83,42,0.000346619351134667,0.027036309388504,TRUE,"Autoperiod",41
"Variance","Lomb-Scargle",33,9,0.000386730785905559,0.0301650013006336,TRUE,"Variance",24
"AIC","Spectral",26,59,0.000518741618522772,0.0404618462447763,TRUE,"Spectral",33
"FFT","STL",45,17,0.000605801873731681,0.0472525461510711,TRUE,"FFT",28
"Autoperiod","SSA",88,49,0.00116809193095068,0.0911111706141527,FALSE,"Autoperiod",39
"FFT","Variance",9,30,0.00136210467158421,0.106244164383568,FALSE,"Variance",21
"FFT","Wavelet",16,41,0.00147846479722751,0.115320254183746,FALSE,"Wavelet",25
"AIC","FFT",27,56,0.00211635115004815,0.165075389703756,FALSE,"FFT",29
"SAZED","STL",26,54,0.00253868673815036,0.198017565575728,FALSE,"STL",28
"Spectral","Wavelet",12,33,0.00286911279207662,0.223790797781976,FALSE,"Wavelet",21
"AIC","Lomb-Scargle",23,49,0.00321622931012745,0.250865886189941,FALSE,"Lomb-Scargle",26
"ACF","CFD",24,50,0.00365858087355565,0.285369308137341,FALSE,"CFD",26
"Lomb-Scargle","STL",48,23,0.00439567879110306,0.342862945706039,FALSE,"Lomb-Scargle",25
"Variance","Spectral",25,8,0.00534877052048204,0.417204100597599,FALSE,"Variance",17
"ACF","SAZED",7,22,0.00932958471977156,0.727707608142182,FALSE,"SAZED",15
"AIC","SAZED",71,44,0.0153289555395492,1,FALSE,"AIC",27
"AIC","Autoperiod",36,53,0.0898865224397833,1,FALSE,"Autoperiod",17
